Task,Name,Result,Engine,Bound,Time,Note
"mytask","cvr_scb_0_s12_HB_1_cyc_scb_0_s13","covered","Tri","12","5.463 s",""
"mytask","cvr_scb_0_s13_HB_1_cyc_scb_0_s8","unreachable","AD","Infinite","0.079 s",""
"mytask","cvr_scb_0_s13_HB_1_cyc_scb_0_s12","unreachable","AD","Infinite","0.061 s",""
"mytask","cvr_scb_1_s8_HB_1_cyc_scb_1_s12","covered","Tri","8","1.755 s",""
"mytask","cvr_scb_1_s8_HB_1_cyc_scb_1_s13","covered","AM","7","0.912 s",""
"mytask","cvr_scb_1_s12_HB_1_cyc_scb_1_s8","unreachable","Ncustom12","Infinite","0.526 s",""
"mytask","cvr_scb_1_s12_HB_1_cyc_scb_1_s13","covered","Tri","9","1.616 s",""
"mytask","cvr_scb_1_s13_HB_1_cyc_scb_1_s8","unreachable","AD","Infinite","0.096 s",""
"mytask","cvr_scb_1_s13_HB_1_cyc_scb_1_s12","unreachable","AD","Infinite","0.064 s",""
"mytask","cvr_scb_2_s8_HB_1_cyc_scb_2_s12","covered","Tri","8","1.375 s",""
"mytask","cvr_scb_2_s8_HB_1_cyc_scb_2_s13","covered","AD","8","1.032 s",""
"mytask","cvr_scb_2_s12_HB_1_cyc_scb_2_s8","unreachable","AM","Infinite","1.060 s",""
"mytask","cvr_scb_2_s12_HB_1_cyc_scb_2_s13","covered","Tri","10","2.754 s",""
"mytask","cvr_scb_2_s13_HB_1_cyc_scb_2_s8","unreachable","AM","Infinite","0.151 s",""
"mytask","cvr_scb_2_s13_HB_1_cyc_scb_2_s12","unreachable","AD","Infinite","0.062 s",""
"mytask","cvr_scb_3_s8_HB_1_cyc_scb_3_s12","covered","Tri","9","1.774 s",""
"mytask","cvr_scb_3_s8_HB_1_cyc_scb_3_s13","covered","Tri","9","1.575 s",""
"mytask","cvr_scb_3_s12_HB_1_cyc_scb_3_s8","unreachable","AMcustom4","Infinite","2.300 s",""
"mytask","cvr_scb_3_s12_HB_1_cyc_scb_3_s13","covered","Tri","11","3.776 s",""
"mytask","cvr_scb_3_s13_HB_1_cyc_scb_3_s8","unreachable","AD","Infinite","0.122 s",""
"mytask","cvr_scb_3_s13_HB_1_cyc_scb_3_s12","unreachable","AD","Infinite","0.068 s",""
"mytask","cvr_load_unit_s1_HB_1_cyc_load_unit_buff_s1","covered","AM","2 - 5","0.421 s",""
"mytask","cvr_load_unit_op_s1_HB_1_cyc_load_unit_s1","covered","Tri","9","2.031 s",""
"mytask","cvr_load_unit_op_s1_HB_1_cyc_load_unit_op_s2","unreachable","Tri","Infinite","0.308 s",""
"mytask","cvr_load_unit_op_s1_HB_1_cyc_load_unit_op_s3","unreachable","AM","Infinite","0.142 s",""
"mytask","cvr_load_unit_op_s1_HB_1_cyc_mem_req_s1","undetermined","Tri","13 - ","16.079 s",""
"mytask","cvr_load_unit_op_s2_HB_1_cyc_load_unit_s1","covered","Tri","2 - 5","0.908 s",""
"mytask","cvr_load_unit_op_s2_HB_1_cyc_load_unit_op_s1","unreachable","AD","Infinite","0.116 s",""
"mytask","cvr_load_unit_op_s2_HB_1_cyc_load_unit_op_s3","covered","N","6","0.556 s",""
"mytask","cvr_load_unit_op_s2_HB_1_cyc_mem_req_s1","undetermined","K","14 - ","104.872 s",""
"mytask","cvr_load_unit_op_s3_HB_1_cyc_load_unit_s1","unreachable","AD","Infinite","0.085 s",""
"mytask","cvr_load_unit_op_s3_HB_1_cyc_load_unit_op_s1","covered","Tri","8","0.023 s",""
"mytask","cvr_load_unit_op_s3_HB_1_cyc_load_unit_op_s2","unreachable","AD","Infinite","0.086 s",""
"mytask","cvr_load_unit_op_s3_HB_1_cyc_mem_req_s1","covered","Tri","5 - 8","0.023 s",""
"mytask","cvr_decode_s1_HB_1_cyc_decode_s1","covered","AM","4","0.193 s",""
"mytask","cvr_issue_s16_HB_1_cyc_issue_s16","unreachable","AD","Infinite","0.593 s",""
"mytask","cvr_lsq_enq_0_s1_HB_1_cyc_lsq_enq_0_s1","covered","Tri","2 - 7","0.967 s",""
"mytask","cvr_lsq_enq_1_s1_HB_1_cyc_lsq_enq_1_s1","covered","AM","2 - 6","0.634 s",""
"mytask","cvr_scb_0_s8_HB_1_cyc_scb_0_s8","covered","AD","2 - 4","0.156 s",""
"mytask","cvr_scb_0_s12_HB_1_cyc_scb_0_s12","covered","Tri","11","4.195 s",""
"mytask","cvr_scb_0_s13_HB_1_cyc_scb_0_s13","unreachable","AD","Infinite","0.063 s",""
"mytask","cvr_scb_1_s8_HB_1_cyc_scb_1_s8","covered","AM","2 - 5","0.376 s",""
"mytask","cvr_scb_1_s12_HB_1_cyc_scb_1_s12","covered","Tri","9","1.755 s",""
"mytask","cvr_scb_1_s13_HB_1_cyc_scb_1_s13","unreachable","AD","Infinite","0.061 s",""
"mytask","cvr_scb_2_s8_HB_1_cyc_scb_2_s8","covered","AD","2 - 6","0.787 s",""
"mytask","cvr_scb_2_s12_HB_1_cyc_scb_2_s12","covered","Tri","9","1.715 s",""
